Cases,Axial Pitch,Minor Rad,Coil Radius,n Turn,Velocity,Hydrogen
1,20,2,10,1,1.5,971.1829203
2,20,2,10,1,2.375,950.9521326
3,20,2,10,1,3.25,943.6617812
4,20,2,10,1,4.125,938.589189
5,20,2,10,1,5,935.7064447
6,20,2,10,2,1.5,935.7094575
7,20,2,10,2,2.375,874.2922976
8,20,2,10,2,3.25,
9,20,2,10,2,4.125,868.1279347
10,20,2,10,2,5,866.4685041
11,20,2,10,3,1.5,819.1003647
12,20,2,10,3,2.375,812.9202462
13,20,2,10,3,3.25,807.9176223
14,20,2,10,3,4.125,803.7268003
15,20,2,10,3,5,800.3860683
16,20,2,10,4,1.5,753.5624107
17,20,2,10,4,2.375,747.7039837
18,20,2,10,4,3.25,740.3975316
19,20,2,10,4,4.125,737.9939986
20,20,2,10,4,5,734.6835458
21,20,2,10,5,1.5,699.5566054
22,20,2,10,5,2.375,688.9472656
23,20,2,10,5,3.25,690.1088559
24,20,2,10,5,4.125,686.8586263
25,20,2,10,5,5,685.622268
26,20,2,10,6,1.5,649.5779858
27,20,2,10,6,2.375,643.2809464
28,20,2,10,6,3.25,644.7976134
29,20,2,10,6,4.125,640.3177276
30,20,2,10,6,5,641.9021008
31,20,2,10,7,1.5,620.5754731
32,20,2,10,7,2.375,614.1984558
33,20,2,10,7,3.25,611.6603384
34,20,2,10,7,4.125,612.9548687
35,20,2,10,7,5,609.2919134
36,20,2,10,8,1.5,593.6035554
37,20,2,10,8,2.375,592.5628955
38,20,2,10,8,3.25,589.9268309
39,20,2,10,8,4.125,588.702539
40,20,2,10,8,5,584.8907133
41,20,2,10,9,1.5,561.084944
42,20,2,10,9,2.375,556.7634749
43,20,2,10,9,3.25,554.4326272
44,20,2,10,9,4.125,553.3020463
45,20,2,10,9,5,552.558449
46,20,2,10,10,1.5,532.8951909
47,20,2,10,10,2.375,529.9877431
48,20,2,10,10,3.25,526.369781
49,20,2,10,10,4.125,524.793176
50,20,2,10,10,5,524.5798186
51,20,2,12.5,1,1.5,961.3502127
52,20,2,12.5,1,2.375,946.2101078
53,20,2,12.5,1,3.25,938.6153704
54,20,2,12.5,1,4.125,933.9058904
55,20,2,12.5,1,5,930.9828402
56,20,2,12.5,2,1.5,879.872156
57,20,2,12.5,2,2.375,862.0169676
58,20,2,12.5,2,3.25,862.4666999
59,20,2,12.5,2,4.125,859.2380725
60,20,2,12.5,2,5,857.2308826
61,20,2,12.5,3,1.5,803.6463794
62,20,2,12.5,3,2.375,792.4783619
63,20,2,12.5,3,3.25,785.6978397
64,20,2,12.5,3,4.125,783.6238678
65,20,2,12.5,3,5,779.5486106
66,20,2,12.5,4,1.5,725.9985182
67,20,2,12.5,4,2.375,720.5715976
68,20,2,12.5,4,3.25,712.2490695
69,20,2,12.5,4,4.125,713.1420421
70,20,2,12.5,4,5,711.4468363
71,20,2,12.5,5,1.5,659.4141748
72,20,2,12.5,5,2.375,651.9235016
73,20,2,12.5,5,3.25,648.4164858
74,20,2,12.5,5,4.125,646.6489756
75,20,2,12.5,5,5,649.2979281
76,20,2,12.5,6,1.5,607.9759413
77,20,2,12.5,6,2.375,601.9863061
78,20,2,12.5,6,3.25,598.2328636
79,20,2,12.5,6,4.125,594.4100139
80,20,2,12.5,6,5,592.7095072
81,20,2,12.5,7,1.5,573.5751313
82,20,2,12.5,7,2.375,567.5870577
83,20,2,12.5,7,3.25,561.2713264
84,20,2,12.5,7,4.125,560.3461786
85,20,2,12.5,7,5,559.3955935
86,20,2,12.5,8,1.5,540.3032262
87,20,2,12.5,8,2.375,534.1998425
88,20,2,12.5,8,3.25,532.7756725
89,20,2,12.5,8,4.125,530.4687475
